Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
-0.00015259740821529114,9.575767036192328e-05,-0.0002514795198711114,-0.0003838722763701563,-0.0002618330015011201,-0.0002359678885043592,-0.0002224407344380483,-0.00021419280885238358,0.00034190553010558485,0.00021367448740789794
-0.0001494226842294763,7.376705386174501e-05,-0.00029074252740500316,-0.00019570674382174668,-0.0002525354922725338,-0.00018831023307650164,-0.0002447077743258202,-0.00022683766053003052,0.0003276742636933577,0.00021339301876765264
-0.0002647654418238719,6.978952501639641e-05,-0.000303908493044344,-0.00016877977871334804,-0.0003532941723463463,-0.00015261856805507548,-0.00023609480492804103,-0.00024095331686625315,0.000323309364955255,0.0002114555592127039
-0.00018882108536111828,0.0004279686197271966,-0.0008281162783779374,0.0009772897613488873,3.588162594953395e-05,-0.0006099799467751827,0.000205825537138136,-0.0005653150813373706,0.0006201258120005493,0.00020636585971304944
-0.0001238959376926378,6.213561278505203e-05,-0.0002978041441756744,-0.00022574844686825606,-0.00026338222111575943,-0.0001836356732829464,-0.00022988247405750768,-0.00023539155589872776,0.0003229411030976896,0.00021251790051580863
-0.00015996807907419855,8.317300320804724e-05,-0.0002929529904698174,-0.00014932234961512612,-0.00026272934935959514,-0.00019777634285566875,-0.00024021780864310328,-0.0002245991828833828,0.0003404551974599677,0.0002117774020144076
-8.40544485741696e-05,0.000194752940108044,-0.00020431793543140893,-0.0003082458428725954,-0.00036374152427160855,-0.00010312718478308036,-8.810286482871227e-05,-0.00024450008952040507,0.00039457557768116276,0.00021290236541571657
-0.000134806844149472,7.114820478290498e-05,-0.00031503916579880375,-0.00012441858211554527,-0.0002676432460919019,-0.00019821203417526084,-0.0002648859978425157,-0.00022407483002657034,0.00032864119047491976,0.00021405832689737447
-0.00014617754023057107,8.370878077010684e-05,-0.0002877233019442433,-0.00016803721426743973,-0.0002678117927296647,-0.00018635464409109343,-0.0002358740171391092,-0.00023202255777379083,0.00033218975650068587,0.00021335960350494292
-0.0001388403410667069,8.755564177308616e-05,-0.0002898347880660424,-0.00017754433055930667,-0.00026677406637454177,-0.00018621522392987756,-0.0002375540637134766,-0.00022764412648416645,0.00033292872381119145,0.00021698617320164512
-1.2220604863173479e-05,0.00015682175457274142,-5.029713310020193e-06,-0.00034063201704037096,-0.00038634623628605873,-0.00012091160434214148,-0.00037182229704433754,-0.0009485383873657602,0.0004580251707432118,0.0002002612285056782
-0.00014469948290365495,8.610851166938115e-05,-0.00030261940711847425,-0.0001687527583874732,-0.00027407802248819634,-0.00018992932403787827,-0.00024304163371816753,-0.00023314668692948171,0.00033358040756352827,0.00021337239192146414
-0.00048201588523132837,0.000131973975861481,-0.00030268173779981805,-5.97769639354627e-05,0.001425627413547374,-6.896958088436539e-05,-0.0001207246362931925,-0.00019381769416061846,0.0003632156912833568,0.0002128552818600814
-0.00014440645800523576,7.58751522301653e-05,-0.0003016284965197184,-0.00019944011224558858,-0.0002874043957641639,-0.0001793341070612796,-0.0002378304208947538,-0.0002480579166081437,0.000316006476971888,0.00021601183922586033
-0.0001423569003448841,7.979999052269178e-05,-0.00029766077868598553,-0.00019316416239784868,-0.0002848951002226238,-0.00017856924902859742,-0.00024024283221250786,-0.0002476315306483906,0.00032179483483884327,0.0002160553098776676
-0.00013079056421466995,0.00010336810118672187,-0.000259559928465683,-0.00014383938637878274,-0.0002790492497705432,-0.00018637141655010944,-0.0002458640440238482,-0.00024065861074694562,0.00034735222533737733,0.0002171295656435725
-0.00015956360256013112,6.793272429276033e-05,-0.0003031007227627813,-0.00014385585096980387,-0.000279127383177586,-0.0002082966756274988,-0.00024934250997240995,-0.00022343402545503037,0.0003198118152693477,0.00021879650823275267
-0.00014696349516954893,4.785532601280597e-05,-0.00030219667358025366,-0.00019452484168076053,-0.00025799989380915806,-0.00014703533978335106,-0.00023453498898918149,-0.0002534505266083399,0.00031366621737124805,0.00021332496994300081
-7.184049208339751e-05,0.00016378073683697534,-0.00025310675712054043,-0.0002888899089945468,-0.0009387010299006247,-0.00014449209051855164,2.174232916504955e-05,-0.0002193942689756622,0.00039026909457097556,0.00022068227220848257
-0.0001451108484584574,6.714016706245199e-05,-0.0002993905800176459,-0.000186702507810718,-0.00023217538985253786,-0.0001709427366359133,-0.0002550272381532728,-0.00021531698329296895,0.0003185552455988247,0.00021007736181615752
-0.0001545335999862171,5.651786149258987e-05,-0.0002982514659750435,-0.00019139419152852568,-0.00028212494934160795,-0.0002109345993933625,-0.0002621162327832594,-0.00024635843850098424,0.00032560658847951613,0.00021246474484181493
-0.0001547366971272721,6.203026332410021e-05,-0.00030139018267220057,-0.00018944133124826988,-0.00027733678418512535,-0.0002148958808635546,-0.00025837899658904336,-0.0002486259405622701,0.0003267701333306783,0.00021250517466539127
-0.0001447184974527471,7.606193388981582e-05,-0.00028083920719251977,-5.021156905558348e-05,-0.00024157806515617724,-0.0001977661142260172,-0.00022329312556369053,-0.00021854918698472947,0.0003140716163176131,0.00021331718151561564
-0.00014967958351430518,0.0001278755076118242,-0.00033618320725600743,-0.000174045890833605,-0.000260814652333076,-0.0002158920880640695,-0.00022075268532260745,-0.00022515691221425513,0.00036625018936161844,0.00021530964793383932
-0.00011775241266119408,-0.00017172061574795885,-0.00028253979052320083,-0.00010385519773545606,-0.0002969540012881396,-0.0003042254779431876,3.7736136828907856e-05,-0.00011912936419326229,-0.0005448222929750089,0.00021835002305175492
-0.000130437496616497,9.055491714449896e-05,-0.0002740564828372803,-0.00018343249860582753,-0.00025737832707336443,-0.00014219374507856483,-0.00022902284628211795,-0.0002583590012163272,0.0003332979718823045,0.00021142995782976031
-0.00014368172091933573,6.394444486798938e-05,-0.00024617920814426497,-0.00014846949147085807,-0.00023689788027799792,-0.0001716964612226648,-0.00019913568254490666,-0.00024665447682113175,0.0003207189845957601,0.00021728702352132352
-0.00015234420125380803,7.724263006222569e-05,-0.00030634788416354804,-0.00019107872372082046,-0.0002907972996476425,-0.000170932048540563,-0.00022970949072841448,-0.00022495383983974672,0.0003238924030134054,0.0002175847364409657
-0.00017321645821508246,8.826791048917818e-05,-0.0002747337881350694,-0.0001479861150807265,-0.000252893696848882,-0.00017812975515879125,-0.0002552661232159406,-0.00026650062166431944,0.0003222584708704052,0.00021252611466463802
-0.00012456803819960245,0.00010941095287910324,-0.0002700303046060876,-0.00016971396296785603,-0.00028224585535111045,-0.0001797125391997335,-0.00025668619109356345,-0.00026927430171067046,0.00035784512450795063,0.00021168701501280565
-0.0001698342166883976,7.483689875881005e-05,-0.00026856116716594125,-0.00017646008332285852,-0.0002765969238527958,-0.00020404509430731202,-0.0002091348898605944,-0.0002263886983175864,0.00031718174532237357,0.00021667155063485326
-0.00012793642619495657,6.160233567872224e-05,-0.0002618992186406805,-0.0001552749478965499,-0.0002772441026114376,-0.00019089815175830807,-0.0002491126874230621,-0.00021743383263534856,0.0003202013867022464,0.00021421066437774655
-0.00017176014919952393,8.05079119008155e-05,-0.0002834217989791099,-0.00018683247503722397,-0.00025140433529202027,-0.00016720806085040259,-0.00021186159137622214,-0.00023136595291977234,0.00032758839950672807,0.00021303163776438078
-5.173089228173371e-05,4.1033307425488276e-05,-0.00034191774244962957,7.160332445756555e-05,-0.0006133442650403494,7.847432699200627e-05,-0.0002703892604203467,3.7747126510018725e-05,6.974525005972658e-05,0.00022397326270855102
-0.0001472665715391192,0.0001216804517110108,-0.0002740113222433454,-0.00012141354198680874,-0.0002176749336837292,-0.00012907791953056,-0.0001665976097033948,-0.00020227197479103618,0.0003457953022068155,0.00021321163095069592
-0.00017315718194779291,5.415525210326137e-05,-0.0002697188112551832,-0.00017387479468011227,-0.0002765291804224602,-0.00018086266167459435,-0.0002339182610642116,-0.00024001117621857442,0.0003079366223685371,0.00021172049176691686
-0.00014617754023057107,8.370878077010684e-05,-0.0002877233019442433,-0.00016803721426743973,-0.0002678117927296647,-0.00018635464409109343,-0.0002358740171391092,-0.00023202255777379083,0.00033218975650068587,0.00021335960350494292
-0.00014617754023057107,8.370878077010684e-05,-0.0002877233019442433,-0.00016803721426743973,-0.0002678117927296647,-0.00018635464409109343,-0.0002358740171391092,-0.00023202255777379083,0.00033218975650068587,0.00021335960350494292
-8.872421805790803e-05,9.109322965737998e-05,-0.00026843860940421754,-0.0001536097876479194,-0.0002814832219447282,-0.00021741966658400568,-0.00024119798680740086,-0.00022974181644484779,0.00033610008077261346,0.00021076699539874334
-9.309815857514e-05,9.469081061691847e-05,-0.0002611443075175908,-0.0001472273910741646,-0.0002815219134851963,-0.00021655700577091134,-0.0002452246231477206,-0.00022684153616684994,0.0003351896313708844,0.00021099364154052668
-0.00015099565273314535,6.574532069887696e-05,-0.00025867801530479474,-0.00018050181045376563,-0.00027663812535403987,-0.00024351380405182143,-0.00021165246016748642,-0.0002512115557390724,0.00031084684181621774,0.00021180146074202227
-0.000165184325042475,0.0001010416081038404,-0.00028932259414950277,-0.00017594292628499188,-0.00015290512261847803,-0.0002713371728048224,-0.00027562505136525666,-0.0002724610452269134,0.0003359766546641872,0.00021341240625667263
-0.00015513832955684666,0.00011680148448317338,-0.0002628051315847924,-0.0001390963938039619,-0.00026529646854267627,-0.00021306177885232062,-0.00022229847997141822,-0.00022176103509559657,0.0003598934319441363,0.00021601879997750818
-0.0001499074339520105,7.945122453056474e-05,-0.00029457931321282183,-0.00018248447343189605,-0.0002619599515883183,-0.00017802792030747021,-0.0002564368510782736,-0.00023338429857660523,0.0003260112365973911,0.00021336472471654175
-0.00014969652747196376,9.965898749798003e-05,-0.0003227604974348229,-0.00016294178233087814,-0.000252391568752274,-0.0001796563551105118,-0.0002474742762587433,-0.00023731060550181605,0.00032220932772601636,0.00021352244943369667
-0.00015360812941930704,7.671634455386114e-05,-0.00029609679150828635,-0.00014573111638518262,-0.00028443330601532203,-0.00018440222385849767,-0.00023779008505941173,-0.00022214908653966865,0.00032960465439052614,0.00021127756955588773
-0.00015718415579679175,7.53814001735219e-05,-0.0002985022308861015,-0.00016773820293290338,-0.0002734731418440736,-0.00018557463198496903,-0.00022332095758697667,-0.0002243463895424566,0.0003328446578073751,0.00021152431875995603
-0.00015391786983073467,8.615774853956453e-05,-0.00029429488941714574,-0.0001833928926063762,-0.00024135729876122018,-0.0001712307068506216,-0.00021593848099825318,-0.00026018451835103695,0.0003353966650016876,0.00021478735832154315
