Minimum,Maximum,Mean,Std,IQR,Skew,Kurtosis,Q1,Q2,Slope,Amplitude,MAD,Residual Bright Faint Ratio,Median,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,Time err1,Time err2,Period err1,Period err2,Depth err1,Depth err2,Duration err1,Duration err2,Impact Parameter err1,Impact Parameter err2,r/R err1,r/R err2,a/R err1,a/R err2,Planet Radius err1,Planet Radius err2,Teff err1,Teff err2,log(g) err1,log(g) err2,Metallicity err1,Metallicity err2,Stellar Radius err1,Stellar Radius err2,Stellar Mass err2,Stellar Mass err1,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density err1,Fitted Stellar Density err2,KOI Name
-41.83457946777344,12.25706958770752,-0.031439248472452164,1.8652807474136353,0.06325500179082155,-10.82800579071045,138.11806387202097,-0.0364300012588501,-0.008609999902546406,1.586062079000023e-07,27.04582405090332,0.029820002615451813,28.21590805053711,-0.008609999902546406,8.884922995,169.99168600000004,2455002.992,0.069,2.07004,16053.4,0.114,11.62061,10.51,0.079,89.89,770.0,83.20999999999998,36.466,0.4970000000000001,0.204,0.0,0.0,5332.0,4.5,-0.08,0.843,0.821,61.291,474.021,388.2,1,153,0.000144,-0.000144,1.636e-06,-1.636e-06,47.4,-47.4,0.006999999999999999,-0.006999999999999999,0.087,-0.069,0.000396,-0.000266,0.649,-0.649,0.56,-0.57,106.0,-96.0,0.05,-0.036000000000000004,0.15,-0.15,0.045,-0.045,-0.04,0.061,16.69,-13.87,0.20683,-0.40258,K00889.01
-0.6669300198554993,0.11313000321388245,-0.007953699678182602,0.062159497290849686,0.0067900000140070915,-6.642055034637451,44.99640992660934,-0.003710000077262521,0.0,-1.4480609297533054e-07,0.39003002643585205,0.0035200000274926424,303.5066833496094,0.0,5.09246539,357.53594,2455190.536,0.161,3.659,254.0,0.014,0.8851,1.17,0.052000000000000005,89.14,844.0,119.7,10.67,0.551,0.165,0.0,0.0,5037.0,4.547,-0.2,0.7509999999999999,0.727,3.648,15.175,17.1,1,225,0.005,-0.005,4.39e-05,-4.39e-05,16.5,-16.5,0.199,-0.199,0.303,-0.161,0.000772,-0.000551,1.2,-1.2,0.12,-0.13,181.0,-181.0,0.07200000000000001,-0.054000000000000006,0.3,-0.3,0.079,-0.079,-0.055,0.095,48.69,-36.91,0.1008,-0.39457,K01009.01
-2.3170599937438965,2.0144801139831543,-1.1300911864964291e-05,0.039240747690200806,0.0,-14.200892448425293,1926.289428962894,0.0,0.0,3.306054366265964e-11,2.1657700538635254,0.0,17.237165451049805,0.0,275.07365,315.2486,2455148.249,0.595,3.37,228.9,0.014,33.559940000000005,1.86,0.789,89.93,303.0,2.0,512.0,0.4370000000000001,0.243,0.0,0.0,5604.0,4.226,-0.12,1.187,0.8640000000000001,5.909,8.012,7.5,1,4,0.094,-0.094,0.039,-0.039,43.0,-43.0,5.5,-5.5,0.34,-0.395,0.000492,-0.002,253.0,-253.0,0.33,-0.36,84.0,-67.0,0.208,-0.112,0.15,-0.15,0.207,-0.23,-0.036000000000000004,0.073,0.92,-0.76,16.58298,-31.5318,K07621.01
-252.4208984375,67.62171936035156,-0.5309610366821289,14.695307731628418,0.8870149999856949,-7.884773254394531,73.06769859501411,-0.6170549988746643,-0.20146000385284424,9.016142353172179e-07,160.02130126953125,0.43163996934890747,22.863513946533203,-0.20146000385284424,8.460438928,133.7744903,2454966.774,1.061,4.73492,76412.9,0.478,0.73874,36.62,0.075,85.68,804.0,98.6,14.087,0.299,0.306,0.0,0.0,5951.0,4.638,-1.06,0.7020000000000001,0.7959999999999999,452.526,3704.503,1797.4,1,164,6.27e-05,-6.27e-05,6.29e-07,-6.29e-07,32.8,-32.8,0.003,-0.003,0.017,-0.008,0.014,-0.006999999999999999,0.004,-0.004,6.36,-2.14,160.0,-178.0,0.032,-0.128,0.3,-0.3,0.122,-0.041,-0.07400000000000001,0.049,52.46,-21.18,0.00021,-0.00735,K06252.01
-0.32506000995635986,0.10575000196695328,-0.0030398047529160976,0.02297140285372734,0.0021299999789334834,-6.527795314788818,48.72433226181154,-0.0015399999683722854,-0.0005200000014156103,-1.626088359738702e-08,0.21540500223636627,0.0010500000789761543,110.71967315673828,-0.0005200000014156103,0.53936593,131.97457,2454964.975,0.988,5.434,145.0,0.016,0.06737,9.19,0.017,12.57,5016.0,149399.93,1.012,0.314,0.304,0.0,0.0,6341.0,3.301,-0.1,5.3020000000000005,2.05,4.847,9.076,57.6,1,1239,0.003,-0.003,1.878e-06,-1.878e-06,80.3,-80.3,0.42,-0.42,0.046,-0.012,0.04,-0.003,0.099,-0.099,0.44,-3.94,195.0,-195.0,0.396,-0.066,0.35,-0.3,0.253,-2.276,-0.411,0.11,35721.31,-106451.43,0.00658,-0.00461,
-1.0524200201034546,0.198170006275177,-0.0013307814951986074,0.031887710094451904,0.0009500000160187483,-22.954833984375,565.007832956384,-0.0009500000160187483,-0.00039999998989515007,-3.267208591555328e-09,0.6252950429916382,0.00045999998110346496,222.9891357421875,-0.00039999998989515007,36.2671673,155.0813,2454988.081,0.214,2.065,627.1,0.022,34.69388,1.5,0.182,89.91,347.0,3.44,134.1,0.644,0.101,0.0,0.0,4264.0,4.637,-0.2,0.62,0.607,3.016,7.472,10.0,1,39,0.006999999999999999,-0.006999999999999999,0.0003039,-0.0003039,78.3,-78.3,0.254,-0.254,0.243,-0.214,0.002,-0.001,50.7,-50.7,0.1,-0.15,128.0,-128.0,0.053,-0.021,0.3,-0.3,0.039,-0.062,-0.05,0.067,0.94,-0.97,13.11193,-21.13275,
-131.6444549560547,18.24279022216797,-0.08454795181751251,3.145495891571045,0.0029149999609217048,-32.04837417602539,1091.8916375959725,-0.0022849999368190765,0.0,1.4887709472920411e-07,74.94361877441406,0.0011699999449774623,386.7689514160156,0.0,161.78832712,214.039,2455047.039,0.267,5.31,87750.0,0.273,17.58377,36.14,0.607,89.95,375.0,4.68,289.8,0.373,0.28300000000000003,0.0,0.0,6018.0,4.327,0.18,1.212,1.142,341.666,806.993,704.5,1,9,0.000166,-0.000166,3.539e-05,-3.539e-05,154.0,-154.0,0.012,-0.012,0.03,-0.055,0.000726,-0.000196,12.6,-12.6,6.24,-3.63,72.0,-90.0,0.08,-0.12,0.15,-0.15,0.209,-0.122,-0.075,0.075,2.07,-1.12,0.76473,-0.4879600000000001,K04162.01
-0.6659200191497803,0.15460999310016632,-0.017106950283050537,0.11612723767757416,0.03329999957350083,-2.8569977283477783,7.703530207950243,-0.0002699999895412475,0.01510000042617321,-3.030533339991726e-08,0.4102649986743927,0.017110001295804977,34.86422348022461,0.01510000042617321,1.5926331809999998,133.9243804,2454966.924,0.003,5.5605,633.1,0.022,0.09265,1.56,0.023,89.93,1053.0,290.51,2.316,0.6659999999999999,0.077,0.0,0.0,4506.0,4.626,-0.2,0.6509999999999999,0.654,4.184,25.793000000000006,66.9,1,846,,,,,,,,,,,0.0,0.0,,,0.13,-0.12,121.0,-135.0,0.042,-0.028,0.3,-0.3,0.053,-0.053,-0.054000000000000006,0.066,87.20999999999998,-73.45999999999998,0.0,0.0,K07622.01
0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.592634161,132.328769,2454965.329,0.877,8.9488,155156.0,0.519,0.06389,100.2,0.029,64.63,2255.0,6128.09,2.046,0.293,0.31,0.0,0.0,6574.0,4.061,-0.22,1.768,1.317,532.246,3630.369,1207.6,1,389,0.0005,-0.0005,7.009999999999999e-07,-7.009999999999999e-07,158.0,-158.0,0.013,-0.013,0.012,-0.011,0.008,-0.008,0.019,-0.019,27.04,-33.04,181.0,-227.0,0.264,-0.17600000000000002,0.25,-0.3,0.477,-0.583,-0.251,0.182,4886.7,-3736.14,0.00061,-0.0008300000000000001,
-0.6666200160980225,0.9572299718856812,-0.0021740614902228117,0.057638444006443024,0.0,-0.2718190848827362,48.74339785673682,0.0,0.0,8.811624985847328e-08,0.8119249939918518,0.0,6.524479866027832,0.0,2.2227289,131.895,2454964.895,0.254,2.617,279.1,0.015,1.00737,34.14,0.051,87.73,4454.0,93172.12,6.41,0.547,0.17800000000000002,0.0,0.0,4996.0,2.354,0.07,20.848000000000006,3.584,4.73,13.497,10.5,1,208,0.006,-0.006,2.444e-05,-2.444e-05,32.5,-32.5,0.29100000000000004,-0.29100000000000004,0.205,-0.254,0.001,-0.001,1.9,-1.9,0.76,-14.43,107.0,-250.0,0.027000000000000003,-0.03,0.15,-0.65,0.464,-8.811,-2.3080000000000003,0.07200000000000001,12806.48,-67878.27,0.29745,-0.5637300000000001,K00998.01
