Minimum,Maximum,Mean,Std,IQR,Skew,Kurtosis,Q1,Q2,Slope,Amplitude,MAD,Residual Bright Faint Ratio,Median,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,Time err1,Time err2,Period err1,Period err2,Depth err1,Depth err2,Duration err1,Duration err2,Impact Parameter err1,Impact Parameter err2,r/R err1,r/R err2,a/R err1,a/R err2,Planet Radius err1,Planet Radius err2,Teff err1,Teff err2,log(g) err1,log(g) err2,Metallicity err1,Metallicity err2,Stellar Radius err1,Stellar Radius err2,Stellar Mass err2,Stellar Mass err1,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density err1,Fitted Stellar Density err2,KOI Name
-41.32081985473633,16.88882064819336,-0.025521498173475266,2.0483694076538086,1.2391250133514404,-7.644903182983398,89.14902688662545,-0.5389699935913086,0.0,1.9230386593601287e-07,29.104820251464844,0.6202600002288818,5.932857990264893,0.0,8.884922995,169.99168600000004,2455002.992,0.069,2.07004,16053.4,0.114,11.62061,10.51,0.079,89.89,770.0,83.20999999999998,36.466,0.4970000000000001,0.204,0.0,0.0,5332.0,4.5,-0.08,0.843,0.821,61.291,474.021,388.2,1,153,0.000144,-0.000144,1.636e-06,-1.636e-06,47.4,-47.4,0.006999999999999999,-0.006999999999999999,0.087,-0.069,0.000396,-0.000266,0.649,-0.649,0.56,-0.57,106.0,-96.0,0.05,-0.036000000000000004,0.15,-0.15,0.045,-0.045,-0.04,0.061,16.69,-13.87,0.20683,-0.40258,K00889.01
-4.631680011749268,12.196450233459473,0.01684788055717945,0.9041205644607544,0.8890550136566162,0.4216086268424988,3.092182092518483,-0.44614000618457794,0.0,1.5165233358654954e-07,8.41406536102295,0.4448699951171875,0.5194340944290161,0.0,5.09246539,357.53594,2455190.536,0.161,3.659,254.0,0.014,0.8851,1.17,0.052000000000000005,89.14,844.0,119.7,10.67,0.551,0.165,0.0,0.0,5037.0,4.547,-0.2,0.7509999999999999,0.727,3.648,15.175,17.1,1,225,0.005,-0.005,4.39e-05,-4.39e-05,16.5,-16.5,0.199,-0.199,0.303,-0.161,0.000772,-0.000551,1.2,-1.2,0.12,-0.13,181.0,-181.0,0.07200000000000001,-0.054000000000000006,0.3,-0.3,0.079,-0.079,-0.055,0.095,48.69,-36.91,0.1008,-0.39457,K01009.01
-139.12254333496094,21.878650665283203,-0.008000562898814678,1.2056355476379395,1.152970016002655,-25.297327041625977,2675.9666816454965,-0.5889300107955933,0.0,-2.1543710538510465e-07,80.50059509277344,0.5769199728965759,2.1192286014556885,0.0,275.07365,315.2486,2455148.249,0.595,3.37,228.9,0.014,33.559940000000005,1.86,0.789,89.93,303.0,2.0,512.0,0.4370000000000001,0.243,0.0,0.0,5604.0,4.226,-0.12,1.187,0.8640000000000001,5.909,8.012,7.5,1,4,0.094,-0.094,0.039,-0.039,43.0,-43.0,5.5,-5.5,0.34,-0.395,0.000492,-0.002,253.0,-253.0,0.33,-0.36,84.0,-67.0,0.208,-0.112,0.15,-0.15,0.207,-0.23,-0.036000000000000004,0.073,0.92,-0.76,16.58298,-31.5318,K07621.01
-257.6818542480469,130.88742065429688,-0.6641277074813843,15.756221771240234,3.0252150297164917,-7.108926296234131,62.182273088388,-0.7926700115203857,0.061170000582933426,1.0677196646920485e-06,194.28463745117188,1.2989100217819214,25.73084831237793,0.061170000582933426,8.460438928,133.7744903,2454966.774,1.061,4.73492,76412.9,0.478,0.73874,36.62,0.075,85.68,804.0,98.6,14.087,0.299,0.306,0.0,0.0,5951.0,4.638,-1.06,0.7020000000000001,0.7959999999999999,452.526,3704.503,1797.4,1,164,6.27e-05,-6.27e-05,6.29e-07,-6.29e-07,32.8,-32.8,0.003,-0.003,0.017,-0.008,0.014,-0.006999999999999999,0.004,-0.004,6.36,-2.14,160.0,-178.0,0.032,-0.128,0.3,-0.3,0.122,-0.041,-0.07400000000000001,0.049,52.46,-21.18,0.00021,-0.00735,K06252.01
-20.99968910217285,164.12750244140625,0.006405642721801996,1.2408252954483032,1.1842750012874603,38.589603424072266,4710.380347199782,-0.5942150056362152,0.0,-3.555470949341808e-07,92.5635986328125,0.5917800068855286,0.38487708568573,0.0,0.53936593,131.97457,2454964.975,0.988,5.434,145.0,0.016,0.06737,9.19,0.017,12.57,5016.0,149399.93,1.012,0.314,0.304,0.0,0.0,6341.0,3.301,-0.1,5.3020000000000005,2.05,4.847,9.076,57.6,1,1239,0.003,-0.003,1.878e-06,-1.878e-06,80.3,-80.3,0.42,-0.42,0.046,-0.012,0.04,-0.003,0.099,-0.099,0.44,-3.94,195.0,-195.0,0.396,-0.066,0.35,-0.3,0.253,-2.276,-0.411,0.11,35721.31,-106451.43,0.00658,-0.00461,
-5.784689903259277,7.9929399490356445,0.014612212777137756,0.9677519202232361,1.1652349829673767,0.2305511236190796,1.34482967123202,-0.5823149979114532,0.0,1.6294911738357152e-07,6.888814926147461,0.5825799703598022,0.7341558337211609,0.0,36.2671673,155.0813,2454988.081,0.214,2.065,627.1,0.022,34.69388,1.5,0.182,89.91,347.0,3.44,134.1,0.644,0.101,0.0,0.0,4264.0,4.637,-0.2,0.62,0.607,3.016,7.472,10.0,1,39,0.006999999999999999,-0.006999999999999999,0.0003039,-0.0003039,78.3,-78.3,0.254,-0.254,0.243,-0.214,0.002,-0.001,50.7,-50.7,0.1,-0.15,128.0,-128.0,0.053,-0.021,0.3,-0.3,0.039,-0.062,-0.05,0.067,0.94,-0.97,13.11193,-21.13275,
-130.61207580566406,19.01085090637207,-0.06515738368034363,3.2588281631469727,1.15139502286911,-27.7958984375,899.0886059039523,-0.5794100165367126,0.0,8.955822465898953e-08,74.81146240234375,0.575760006904602,18.666223526000977,0.0,161.78832712,214.039,2455047.039,0.267,5.31,87750.0,0.273,17.58377,36.14,0.607,89.95,375.0,4.68,289.8,0.373,0.28300000000000003,0.0,0.0,6018.0,4.327,0.18,1.212,1.142,341.666,806.993,704.5,1,9,0.000166,-0.000166,3.539e-05,-3.539e-05,154.0,-154.0,0.012,-0.012,0.03,-0.055,0.000726,-0.000196,12.6,-12.6,6.24,-3.63,72.0,-90.0,0.08,-0.12,0.15,-0.15,0.209,-0.122,-0.075,0.075,2.07,-1.12,0.76473,-0.4879600000000001,K04162.01
-12.001910209655762,89.46190643310547,0.009220021776854992,1.088396668434143,1.173080027103424,13.70647144317627,1057.0824826800972,-0.5938700139522552,0.0,-1.868705367408635e-07,50.73190689086914,0.5864999890327454,0.5150089263916016,0.0,1.5926331809999998,133.9243804,2454966.924,0.003,5.5605,633.1,0.022,0.09265,1.56,0.023,89.93,1053.0,290.51,2.316,0.6659999999999999,0.077,0.0,0.0,4506.0,4.626,-0.2,0.6509999999999999,0.654,4.184,25.793000000000006,66.9,1,846,,,,,,,,,,,0.0,0.0,,,0.13,-0.12,121.0,-135.0,0.042,-0.028,0.3,-0.3,0.053,-0.053,-0.054000000000000006,0.066,87.20999999999998,-73.45999999999998,0.0,0.0,K07622.01
0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.592634161,132.328769,2454965.329,0.877,8.9488,155156.0,0.519,0.06389,100.2,0.029,64.63,2255.0,6128.09,2.046,0.293,0.31,0.0,0.0,6574.0,4.061,-0.22,1.768,1.317,532.246,3630.369,1207.6,1,389,0.0005,-0.0005,7.009999999999999e-07,-7.009999999999999e-07,158.0,-158.0,0.013,-0.013,0.012,-0.011,0.008,-0.008,0.019,-0.019,27.04,-33.04,181.0,-227.0,0.264,-0.17600000000000002,0.25,-0.3,0.477,-0.583,-0.251,0.182,4886.7,-3736.14,0.00061,-0.0008300000000000001,
-4.755259990692139,17.135780334472656,0.0013909972039982677,0.5676722526550293,0.0,1.1616441011428833,35.11824595194878,0.0,0.0,8.181948389379808e-09,10.945520401000977,0.0,0.16812357306480408,0.0,2.2227289,131.895,2454964.895,0.254,2.617,279.1,0.015,1.00737,34.14,0.051,87.73,4454.0,93172.12,6.41,0.547,0.17800000000000002,0.0,0.0,4996.0,2.354,0.07,20.848000000000006,3.584,4.73,13.497,10.5,1,208,0.006,-0.006,2.444e-05,-2.444e-05,32.5,-32.5,0.29100000000000004,-0.29100000000000004,0.205,-0.254,0.001,-0.001,1.9,-1.9,0.76,-14.43,107.0,-250.0,0.027000000000000003,-0.03,0.15,-0.65,0.464,-8.811,-2.3080000000000003,0.07200000000000001,12806.48,-67878.27,0.29745,-0.5637300000000001,K00998.01
