Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
-41179.199987904096,52041.23068354414,7264.612102186688,2009.2638579390662,1049.979921808854,725.5822627529054,117.53919303075084,-188.620102726556,509.16659275620543,2363.8358572478455
-67008.9213512207,89296.79827330777,11266.938783016223,491.36653172864794,-2623.8953904958216,8983.140995725691,9060.9798081221,6706.16695030471,86.20530229488568,6181.351946257115
-66952.47108668635,89046.45841511548,11638.948943518275,1105.4981203252519,-2337.9840350775426,8698.82044654622,8838.362568810164,6673.670441084686,-30.969539750235555,6143.977775038444
128571.05771199161,-219564.16878560995,-68341.47860687933,-32311.205972856707,5459.39608836266,1069.8467632253955,-21035.748858609728,37579.44241633635,18384.86173831018,-26778.89823810815
-67683.59165074928,90286.4238530636,11608.126656475923,749.2482961067299,-2569.5418821363364,9002.72281250975,9108.103355577367,6821.557161840478,-21.978981613452564,6264.75686003333
-67247.3288485876,89599.52441763086,11524.433774880148,705.8034152351864,-2563.702941944689,8896.091765436286,9038.754159255473,6735.079431833175,-31.795170880542962,6202.162820245219
4192.978038970694,-11215.445037385078,-23095.091365566816,-26471.864424452942,-13411.220665612967,8457.020146429986,6781.4754498602815,2436.4381041760944,4149.518436400526,-676.2944337806061
-66769.88748772517,88831.9668571319,10962.445354362837,337.1833594232934,-2617.4499131926113,8881.39555034957,8910.456547003021,6718.035079519099,39.081340116345935,6088.705459723519
-67778.3405514556,90473.3578101648,11615.816077510726,724.207912438008,-2598.573953630629,9052.742163935922,9156.662139196065,6878.998154602157,7.673251371899395,6295.809298946044
-67292.75720936488,89576.28351622549,11778.437044657521,920.5759085895827,-2327.651700795688,8811.60877809018,8945.277172343374,6581.369176127807,-221.46770160725916,6180.750208118823
64134.83801742581,-106994.17146445079,-50224.73770475973,-24684.880022278703,-80255.91661528844,60303.33819025791,11397.789569898718,-752.660938855391,551.3725165048719,1962.2958324269573
-66758.69475413325,89359.49131700743,11511.00330687139,1375.1724654350796,-2657.1535324641304,8431.22652620323,10257.05704946229,6917.988502685959,39.879336636980405,6265.553653497365
-38617.07283694016,31828.22881035785,5490.331493116562,22145.158202690956,4849.094446151625,-26552.40961728434,13949.42009997664,431.3149700288693,-21670.02599533506,21949.521252757855
-66352.7402357089,88377.1275364285,11051.900702809302,436.2900262399537,-2230.374806775498,9252.540962715093,9109.437743789524,6721.002258233944,1.041343856115402,6078.537002115792
-67026.63698539734,89383.66456929815,11235.718782832297,379.2065097683211,-2734.9248868124887,9030.859358989757,9153.488532745578,6771.395464913457,-49.31165759843057,6328.802943871043
-48903.15273952558,61793.93056406585,6311.040517191397,-803.013646377216,-2469.4403761142676,6167.554083286791,6304.161358101611,4712.891917950223,322.32572073403725,3922.072092708531
-67191.73569961505,89637.5052059307,11686.77362029229,732.5761666100342,-2523.4519567707525,8901.35612130529,9014.81388946282,6744.516528135618,-35.68484924176714,6212.24964874015
-66461.89735147552,88744.44309488942,11244.432982889084,339.9510017684004,-2708.1506687435353,8961.423848550901,8997.675131071392,6811.385854615698,62.23348546446881,6120.2469705152835
129939.08560283027,-22700.69749814523,19833.54391195536,5279.680765433085,4753.003078202792,-14190.14119597189,-3059.1049324871283,240.90607945522186,11056.048379841826,797.7184881160185
-67489.30271070181,90107.08400035783,11337.82937311145,359.8859144450442,-2769.609514450833,9180.720340341804,9279.331013826548,6844.176763766901,-20.85027150907996,6252.462126990427
-65942.23103798866,87856.15036768487,10408.594057741297,-606.5896688692735,-3204.7547876393123,9268.98262392147,9372.674466325203,6700.69741929201,-4.519048676671158,6114.844632100772
-66658.32038239537,88897.06565077328,10839.807477576092,-168.7318585213806,-3025.3127468813545,9250.217777182648,9360.281898581405,6759.3616280863425,-1.8221701122810021,6206.214240330774
-55498.74240914253,68427.01464973517,7444.881583466361,1915.963100483771,-1423.5515435972109,4979.905587267213,4385.693873589305,2873.1865170353985,954.1253218411402,3891.8154526251474
-67061.20696560682,89493.37365892316,11133.038556926333,162.28989168225854,-2857.853204432941,9168.162001395098,9266.847101044505,6813.080512653959,18.4037813524952,6234.179152589285
38918.76085845916,-894.9003460489209,-51104.339628871625,-78840.25887108262,-40865.33678705251,28721.999890436382,28497.52441497956,7836.107987811546,2417.2086806923967,719.9046310624792
-66733.13783745957,89082.52760397535,11926.734178007388,560.5725139446105,-2467.96748631687,8882.890960304663,9293.530696359714,6820.432261238733,150.68511037737272,6254.784424827956
-60141.827314082024,79418.80304376256,8166.762501840668,-2175.8952817530244,-3591.6892696652967,8968.51945493845,8989.50020190923,6501.670981281407,351.48161595839815,5589.168778976141
-67195.2106910908,89638.828069957,11254.61761645444,357.44770219678486,-2761.7594978913994,9104.670886762258,9221.674300384659,6818.3065180654785,0.9607870191603674,6232.343301374441
-67236.79549170002,89571.6372704842,11613.9651230677,629.8637741540734,-2566.377815630951,8922.176047201465,9120.418364314173,6785.1246440319555,-17.505739618709704,6209.783838361721
-63658.61687176378,83901.5328179663,7401.3446050914545,-4216.601234723739,-4993.598515479451,10433.591051097172,10445.820721215885,6529.130493217352,-328.62230785455654,5864.545308678865
-67417.93443715942,89879.3572218429,11517.58727569112,690.1078531802199,-2617.949223392363,9004.70450252623,9019.187204859827,6920.712605310197,94.48463516204124,6306.969242627173
-67507.04943238202,89979.23685320151,11589.653691339763,840.6914046561044,-2512.7461468885926,8874.594723489377,9053.425561517397,6743.957072952997,-49.14011926401125,6311.010222748866
-66679.60627040919,88710.95555556554,11519.019633018264,974.7367150722506,-2373.5965144142174,8630.90194544651,8871.551238940916,6552.123617611095,-58.01052662023472,6066.193080333863
95613.62169214347,-137908.02895987785,-34834.649344238336,4198.8254318723275,4251.503128570704,-20051.935722665803,-17515.301069509216,-13234.998543067217,-848.6124235370665,-15071.943586871352
-54730.70456901268,71890.91886084164,8380.629581923746,1194.7878857673818,430.8590299150348,6980.677238937541,6518.680314476697,4058.5200574957166,-561.161128976103,3150.2055034880227
-65693.93238686003,87395.95676190933,10800.77653331098,229.17493545041862,-2555.577965614047,9072.317738169411,9043.944966043622,6796.512884748487,115.68942798732463,6056.325597163805
-67778.3405514556,90473.3578101648,11615.816077510726,724.207912438008,-2598.573953630629,9052.742163935922,9156.662139196065,6878.998154602157,7.673251371899395,6295.809298946044
