Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
-88590.81396792468,-53335.882564883395,63687.377499982795,7497.153552582939,2724.4248471819533,2032.4645712522934,-1385.5417644923368,1369.1555679166574,1211.1808261792003,5590.29984802488
-116040.42914747687,-66970.59000232497,81396.2613872714,10635.475909899762,6189.56761296287,5023.405541951217,-1725.3905996557714,4060.207396978173,2715.9422305659286,4066.5468290974477
-100229.99570615309,-59564.050746475215,70322.28128423705,11687.543792818758,5238.214151373172,4258.060978546649,-1699.3418064771913,3085.82921890636,2134.7036249217126,3064.3665755388583
108964.51195065319,149293.58651034217,-225972.32990898986,-2160.9381239525787,-30829.940896506065,3036.830460049762,13976.867340206714,-35701.53955984276,-17068.084411032083,-13190.656047033019
-98758.13585741179,-66738.01338460683,79281.26299646999,11211.676465710092,5858.790728920972,5175.941026539964,-2323.1938158272783,3849.575385323391,1984.728520773465,3241.5161548400743
-113000.40278962659,-66748.55598800437,80264.776196477,10949.938047770851,5662.800837682522,4799.139780747367,-1891.1153485766285,3733.963355601449,2457.3622112708267,3449.1861219521197
-71590.94303331204,-5799.581446325751,-921.4556918907349,31682.994816271377,485.47447579918463,2660.4041758481085,2516.231621640922,-8060.972236630369,-1910.9275330569415,-3084.609818228516
-106729.94940706957,-66216.2582133727,79580.2158595177,10467.096691382958,5982.313077790471,5104.267883591459,-1614.9395734447355,3276.1704750167205,2757.48483205035,3715.5490452250315
-160520.38024159463,-75219.14534480943,95044.95918924452,9216.31483207988,6609.0071360455895,5785.892913730183,-2141.795751761526,4690.548476691099,2494.7563135920095,4668.447795810823
-133684.64290076666,-69471.21919105045,85331.1944787041,9938.357450273856,5694.974565435526,5394.118312689506,-1634.705694387478,4139.067619504506,2617.835833554183,3938.3881480999707
-2515.8545135296717,66876.24259089577,-107867.8658424278,61062.50305130417,55486.50348246027,17999.142675683255,-21893.455830812334,-34091.62752858191,-13428.380308445985,-29828.35630029704
-142806.85892941442,-71973.79815007631,89525.14067906958,9607.204401350633,6823.3047932988,5758.849785138454,-1299.372775834753,4695.932081556373,2681.3311293458432,4333.986371573059
-34469.14331515695,-51170.26072538488,50272.34270642186,-5615.4573481386615,15465.169160803085,8201.222537859672,32783.16582225722,12072.165328958423,8034.262683923218,-2178.193579274492
-112406.68847205838,-66462.67045962549,79833.55648602216,10657.875209605494,5820.483743718934,5301.640622206668,-1901.152097033138,3446.919301575786,2159.6045152539,3683.92744963549
-113847.26331711512,-66669.15519667456,80394.0828802086,10767.498699713047,5986.314039430386,5242.11996092117,-1975.5927221512734,3563.213429624659,2110.634634279875,3740.775251429956
