Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25
-41179.19998790273,52041.2306705337,7264.626698196517,2009.287593382556,1049.7739133081168,725.1722635864605,117.60808818816304,-186.9363930404494,513.9362875732177,2357.1393338322146,-2223.8311219233924,4386.711093088342,6793.295184999906,2129.429397663633,-750.9968159719608,644.868460984878,2933.076852440646,894.376084884505,2252.991786873745,2121.92315396388,-650.0886866902773,-212.920040366233,-1848.3705443124848,3777.5953540609944,1348.4660707530115
-67008.92135121657,89296.79821815732,11266.991781194245,491.3989011898101,-2624.271608095418,8981.900375828816,9061.22185922428,6706.775504919142,103.93541587307786,6167.237766358637,2603.2932395618386,2912.1427750224325,4215.497416128875,-4287.399514224405,-2826.6599282325283,2871.4985971329947,-4620.006710914492,-2230.6970345989234,7322.120212246603,-999.2120325604146,-2909.394873643119,-3896.9347823013986,3907.533044314755,4950.124860097694,2228.7966574348193
-66952.47108668208,89046.45835952536,11639.002248480083,1105.5311045785645,-2338.360912792234,8697.583144622122,8838.631762913483,6674.271105525092,-13.163610719950547,6129.832244997705,2583.3791338592127,3086.4231991395445,4164.069273160351,-4190.1247748636415,-2972.010230580116,2860.405313745689,-4524.400282800359,-2103.1101435439828,7403.199306000077,-774.0353793716672,-3114.0398049701294,-3832.6867332064576,3562.458189381363,4955.2400906201165,2321.8067965460577
128571.05771197763,-219564.16858354962,-68341.65756771878,-32311.471884453793,5461.842012086534,1075.2093141245514,-21031.60000497571,37564.670506446375,18341.20119872518,-26720.35489717212,-3074.1300796669443,-30771.81241209141,6127.28369815759,26526.672454995787,31768.182305465685,-5353.62129776462,2831.7387728364606,-15671.62118720004,-25777.635045417406,-4514.379422420868,-8004.8860009712735,19892.68079255228,-5810.269259728151,-25295.894444388014,31566.742709012495
-67683.59165074505,90286.42379788325,11608.179771622468,749.2801855008524,-2569.9109220681976,9001.49342722486,9108.36460504197,6822.094194356529,-4.190111105086,6250.773469967578,2648.354136834758,3065.2713370497454,4159.166405772032,-4306.820549038999,-2931.2235338195737,2870.4619828602117,-4659.074237458055,-2145.4932884600753,7505.69614183269,-861.4673944207859,-3061.387585704893,-3805.6926648745725,3776.1917885593466,4893.052846383478,2248.7412220889496
-67247.3288485834,89599.52436287908,11524.486498104723,705.8348973258411,-2564.0679867725958,8894.873273312996,9039.017110712526,6735.605049950278,-14.12123973378883,6188.3038272263075,2586.59463295652,3069.7788359753135,4150.116482459532,-4208.117129308808,-2912.6921202737867,2855.5503934938374,-4623.812685889964,-2131.4493315487953,7384.326218175988,-872.9360959924583,-3066.026040486873,-3778.0069929273864,3741.1929808934187,4847.049005818282,2255.30183455678
4192.978038962002,-11215.444936515338,-23095.186069531508,-26471.97805699834,-13410.11790374903,8459.468648174687,6781.588413513878,2429.4460802642293,4120.335661607805,-645.044383486301,4983.3077087351485,-10697.841064564476,-7335.493610390194,-2776.8812630862617,5308.079767137171,3501.798876415681,-4879.54794254023,-2399.2231518330123,-8399.5573371451,-9636.717994477014,5240.907584815815,6406.921888240526,5789.477879545511,-14928.98104919361,-1446.2150659166823
-66769.8874877211,88831.96680264153,10962.497726594325,337.21297106115605,-2617.797262628195,8880.2025877059,8910.719099585964,6718.396584507405,56.650327839893805,6075.5003277116,3065.6819816094862,2836.06845960613,3925.4815285695936,-4304.436197216286,-2502.1218045110395,2432.55089505575,-4506.751032831237,-2279.3816977984366,7478.863407640828,-1011.661773550911,-3109.5098966254154,-3734.0319497989126,3907.938624625536,4471.563934808984,2059.230229072966
-67778.3405514514,90473.35775478881,11615.869364821834,724.2396646694767,-2598.941874839376,9051.51088026122,9156.927978294318,6879.505135423023,25.51936460397213,6281.845451021412,2682.7649524094195,3024.6151607937336,4143.987081174851,-4344.179160831906,-2927.542456907618,2916.555449386133,-4772.754321493188,-2161.198376831158,7517.889998781251,-889.2969381103076,-3086.8441407757273,-3832.8417931358867,3838.6096407733075,4873.700831554904,2270.836783308214
-67292.75720936066,89576.28346141966,11778.490024339128,920.6080614798703,-2328.0236474020076,8810.381702407043,8945.534469375038,6581.982680523312,-203.6713025170179,6166.64497535928,2415.41171751567,3217.815243203323,4221.3993343588745,-4172.008053668393,-3091.452881630198,2794.306662710594,-4556.453473905249,-2164.1461392333163,7479.5824596707935,-820.715214635621,-3043.7834099687057,-3720.1471547255487,3646.1425928403055,4989.028105773432,2247.910714029659
