Component 1,Component 2,Component 3,Component 4,Component 5
-88590.81396792486,-53335.882564881686,63687.37750738424,7497.164506725385,2723.5007172883825
-116040.42914747706,-66970.59000232413,81396.26139504407,10635.477631403104,6186.80991157231
-100229.9957061532,-59564.0507464748,70322.28129036498,11687.537847907031,5236.612106378672
108964.51195065358,149293.5865103666,-225972.3301152234,-2161.1378548413472,-30799.69523874672
-98758.13585741194,-66738.01338460627,79281.26300441408,11211.65527748208,5858.359086931188
-113000.40278962678,-66748.55598800327,80264.77620455153,10949.936501322216,5660.394357596302
-71590.94303331207,-5799.581446332207,-921.4557465455573,31682.87521698506,485.8979976247708
-106729.94940706977,-66216.2582133719,79580.21586491475,10467.077707408673,5981.11172038743
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
-133684.6429007669,-69471.21919104877,85331.19448945146,9938.38124204927,5690.440223915794
-2515.854513529498,66876.24259086268,-107867.8660482476,61062.00832966974,55492.184482578974
-142806.85892941462,-71973.79815007375,89525.14068960791,9607.245721873172,6817.543895327866
-34469.14331515709,-51170.26072538383,50272.34285508027,-5615.225247817188,15442.870297964415
-112406.6884720587,-66462.67045962457,79833.55649212284,10657.869180752725,5818.212535205549
-113847.26331711531,-66669.15519667341,80394.08288650426,10767.495459917534,5983.931075505248
-102985.36578314037,-53465.12260421288,62198.8164525882,10867.747944116025,4447.598921088809
-112602.6717760909,-66937.66847183829,80358.99972684299,10825.607669137125,6120.491474256875
-115439.74655780385,-67067.91191503296,80985.52804153781,10799.075997481039,5948.834184502126
-8511.054648698822,111644.07087587363,-17826.09258803853,-36930.6159764765,-8791.814108793227
-108456.29242155286,-66121.70062972135,78712.95756310923,10671.616295769221,5840.396088198179
-112588.7861880871,-66358.5837324308,79570.2066226437,11438.809447132344,6611.661393567098
-113532.1109426128,-66705.05702426017,80222.12222015159,11045.381439122504,6506.591683537439
-123782.94736628623,-65071.42229931624,78075.17263745677,10251.89027155484,5337.966460784228
-112304.6169995821,-66739.65154475794,79887.11103657869,11108.145944972017,5799.388478620795
-67945.55011375052,59739.78440439122,-45150.90384558669,124047.6544610517,8798.662542953967
-111895.0792036522,-66976.58752123732,80350.20269250327,10406.333389467796,5597.103150830084
-111511.19976552349,-64244.94998915378,76757.75819925363,11817.301275957154,5944.9199097560695
-112460.74422177748,-66013.4671767549,79181.1795038645,11072.318377296351,5766.81087859815
-111203.13933121868,-66566.1683176455,79716.63524109339,10695.477424452212,5926.803431905634
-111285.67774160909,-64661.79876465443,76259.78697836006,16373.661247044023,6733.148815679328
-112791.86437394784,-66512.05087835151,79700.57953499458,11039.337580228934,6096.018094102088
-112647.65760521457,-66719.58367276391,80020.52257418222,11210.773286294212,6029.324647457796
-112429.82873597377,-66486.94199481735,80428.26937998635,10789.575971602773,6046.747843320958
78354.2069917767,83758.163629735,-117741.83201865284,-8523.515337983765,-11423.072678398947
-101673.9085441362,-56194.03124294578,67862.25965037038,8513.259219515923,1711.6800772565794
-112618.65572223059,-66234.4168666663,80128.78899419586,10463.390678316511,5771.059526878202
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
-112713.34238261069,-65944.90399778927,79224.9837749089,10359.29777163126,5944.677700054157
-113852.53359345095,-66420.62047937184,79992.2596431949,10331.602487327438,6090.804946673338
-111062.12673992236,-66578.10143151759,79593.21446821434,10777.054701690275,5897.147747725664
-105415.9984988042,-50406.10184717055,56686.61818357524,10683.175427343584,1871.2461410854917
-111947.91891537409,-66292.88322679112,79412.88674434573,10988.94939096461,5978.542285648089
-132941.60895823035,-69689.52579282827,84640.50781195017,8792.299405197253,6417.051936893712
-94732.10934056043,-68725.71240846555,81934.41409008268,5790.166779382872,5311.31588381529
-110348.78859930688,-63427.915720094956,76028.535603472,10472.752285588176,5616.624824257288
-111953.64195751326,-64056.6014790876,77063.23735906195,11041.886613692577,5730.175422049671
-112439.58208532154,-66339.07900476738,80063.05442039104,11032.867115228843,6080.368620423742
-112379.58424584432,-66619.59212045962,79766.67794885596,10793.707992679789,5586.613986467664
-112894.20438199847,-66771.4523287645,80749.33842371123,10848.619560545647,5762.434987519623
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
361238.03247757646,-95849.76354987246,74483.70542383411,3408.2609932814066,3062.373653276723
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
-112499.3483562664,-66870.61087919548,80491.55233578217,10773.534830080414,6041.402536314831
339211.71038819826,116802.12068074968,-194059.0662812251,-115305.76346911756,-7462.848595170969
-95575.46445755803,-56412.02111255449,64540.04590679324,6894.911393155669,2047.4008458321339
265647.1166676369,-16682.008454577277,-19963.48953497052,-57231.3916131041,-25742.27081324728
-85495.87279109706,-27403.106115796167,26591.397116284446,5215.498030819919,-1775.3181437683222
-116497.97357207681,-67892.64479227057,81165.46018319763,10571.262747110814,5985.456226428936
-92630.04673519514,-32336.177367714845,22084.06780941778,5658.98141228424,-5296.757403399903
-112841.03932012219,-66720.42346388215,79844.00987258696,10605.198050721636,5992.862261632437
-113734.90860446896,-66824.18792118096,80058.24210793921,10738.466029704661,5957.6001822344415
-160520.38024159483,-75219.14534480586,95044.95920346145,9216.383650912134,6601.073438665996
