Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
-102684.45869213577,85660.87007147742,4791.430432896217,5657.043851167138,2217.7707256841027,-599.4439093630962,5186.7553013831375,3341.819039371566,6118.787259765895,30.910096186090065
-88289.57921674158,71433.09311959834,5134.34910373187,4265.55438586355,425.6439116171847,-605.4167238571067,5062.243599364589,2016.4307232951633,2910.260804547197,-990.0606608492997
213706.9437802037,-212166.52996546606,35067.44676274826,-23635.73367948198,31730.77927883318,4750.801751214285,-44557.73078972291,-15418.70622212351,6008.265925360774,20498.64070071603
-94777.74292470719,76201.72545873666,1246.7743139037834,4209.7896325325755,-1318.654458985077,-669.7016752928785,7725.354532675322,988.0599405987224,60.88643605260173,-3074.643221953714
-22355.920399716422,15655.146105139609,40560.75490146584,1985.5660590427879,9191.952168104026,275.1200066360869,-10862.929087124347,-308.72024845212405,8142.168103444581,9895.68020675964
-98241.17721894295,80453.77146273374,3731.5296523680663,5478.3808649954435,1328.7947732827388,-617.9630420105481,5492.596815343919,2534.6810287926487,4164.286391246346,-825.7346595471985
-97808.12577427168,80174.27045254203,2736.6155225415314,4972.9331089114,785.8425844053078,-381.90246832486815,5671.5769304263595,2509.792440766504,2915.8768892098014,-1729.7786139351244
-130543.88500150514,114706.46852691707,11061.532442045745,8417.596695169748,10345.682595105678,-1932.6320584616494,923.0897328824033,6533.569121666732,18732.7232581206,7882.767436087107
-112922.03649550503,96140.59930853243,7587.6766814313105,6201.922744836399,5915.156739185028,-950.0996786513166,3101.3977604843462,4693.857422661574,11377.689422081887,3784.888797938551
80537.8659788289,-81237.35092756554,87982.07783172984,60466.858674768235,28890.854458339956,-27750.004492548782,-25096.33494127377,-13290.400227347742,1953.2823226946268,39386.42810006415
-50329.450259666395,26633.315710072708,-21906.919379530085,12125.96544702878,-7081.14702030432,36271.38138108517,12520.413915804009,4730.515156101361,-13788.912689529514,-6026.20459119279
