Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
-64096.09222280593,-84756.27946698865,10905.787310981252,700.1914503595182,-2200.1259329422905,8199.322295466782,8440.958957261637,6389.236400763123,71.48847770948146,5837.369476210362
-64040.58485087852,-84510.6943631994,11274.312050417051,1309.0024459824667,-1916.745856347304,7915.451548356741,8214.33728194936,6352.933034490156,-45.21988418074644,5800.471920338309
130979.24039848876,224177.6563474875,-68676.91350204963,-31967.922314521915,5716.828600648474,191.1693451669183,-22546.986864643848,36527.52399207528,18218.539307907908,-27055.6730661238
-64769.35918976078,-85747.89442537357,11246.36821680976,956.5906767497979,-2144.9749149784852,8218.819789792782,8488.762981227901,6506.5148327558345,-36.33984088737247,5922.612492546601
6944.964876209823,15842.588241693424,-23342.332601187634,-26086.041620690816,-13054.455762209964,7760.730489686661,6111.821403039564,2013.042101447849,4033.911543231051,-1105.2799471426229
-63506.447893521006,-84329.67031423224,10673.793917293182,538.9545643189341,-2641.0152539831934,8587.323694836177,8452.968595017852,6538.065130930321,5.559053198069364,5791.214055848216
-63857.999282809156,-84292.43531828486,10602.289619880592,544.6427660095171,-2195.7069556038973,8099.898707778566,8287.969195925774,6396.929197569367,22.44494638283158,5740.474027151519
-64863.66827111399,-85933.59834663062,11254.676127994248,933.2224306295354,-2172.3469729457893,8266.39652726767,8535.929998153935,6563.033211077463,-7.833035778344566,5952.469470868526
-64379.94586529636,-85040.35884248234,11414.382574442956,1123.4620973830604,-1907.204177031725,8030.525297682711,8327.868505737537,6266.517894622521,-234.3275480497249,5839.335980089915
66758.47803237694,111880.41885396448,-50401.69328332368,-23536.39814502658,-79157.47209118267,60039.3440318389,11668.553386037704,-645.9982411324097,419.44605449961404,1620.116799462607
-35812.06303876139,-27449.659108953023,4942.954902061563,22056.430713411883,4935.446740290143,-27494.666198145173,12773.493045883688,93.03799386037366,-21732.46707872195,21551.996590112238
-63441.511732977524,-83836.83239324596,10690.841004407477,645.5246943597311,-1802.6027544404676,8461.94484719651,8490.763844792187,6404.580547282246,-14.645464817808865,5733.607536320264
-63735.71211146782,-84236.05596098499,10912.599176872267,701.1946906368596,-2253.365954816866,8128.517811365201,8407.899195328648,6444.497764748955,35.34298251154255,5756.171328368111
-64113.632792038385,-84842.56721423053,10875.744703149903,590.1130136993023,-2309.951668115033,8245.805785153192,8532.7789881846,6454.897251298381,-66.16077101823818,5983.341954214692
-46037.411555406994,-57263.09083241601,5943.918632937289,-596.9741137301614,-2085.641924826903,5405.291330863943,5633.314265008327,4330.425100853709,294.5988508478379,3556.168900315905
-64278.80588289005,-85100.58718793305,11324.73176996428,938.3917510955287,-2100.9031657670475,8119.197375400543,8395.856511334066,6429.075848854621,-49.797201665378346,5871.145210395174
-64253.82672840714,-84920.93026349577,11052.506908712117,865.9395910607111,-2198.5181361016885,8166.551263944046,8449.801169998345,6369.248734559327,-0.35165209238575557,5823.334813473138
-63550.2230809062,-84204.8241253194,10884.308148091885,550.5376502567096,-2285.026117589236,8178.958829899596,8376.593156828238,6491.860172188284,44.75083340479833,5777.358464744352
132634.63771584677,27186.106068572473,19417.34376683157,5399.8422061625515,4872.488648408879,-14882.553871494396,-3941.346262326863,-445.72122063319233,10878.923656121095,471.02000309366247
-64527.92759894841,-85325.24576239579,11196.982380342552,1001.3053909688351,-2139.9212621564016,8186.036239730275,8387.963150521087,6452.234019075556,-36.76336074225581,5878.36029845675
-64575.12298572357,-85566.26172654478,10978.682491850139,571.3723083844317,-2343.228179346609,8396.594143980537,8662.66516086222,6533.326055882048,-35.041934453916575,5911.4829716279355
-63031.64905906424,-83313.35162397772,10052.679321145939,-392.42127237351076,-2782.308114765194,8492.306229706359,8763.005480474023,6396.5399688338275,-17.420407359838478,5775.636937795913
-63745.880363683216,-84353.52980649802,10482.715343659615,46.193247914429804,-2599.4590532015127,8466.989847822406,8745.407575648864,6449.869988470827,-16.747124389753694,5864.233081965489
-52626.67880165483,-63944.1952988684,7053.16172254549,2044.0736451584746,-1093.8408046759196,4303.241185838955,3782.056547972086,2520.699772827085,968.1089329297791,3590.7084495264453
-63755.05614781111,-84314.19140653637,10621.268288298226,366.62734970396673,-2481.7369043210933,8355.420484548113,8695.825200662304,6224.25053339529,28.03425578532476,5872.068625977074
-64147.921793124675,-84951.21083684957,10774.38206266169,374.858291984443,-2431.964937625351,8383.758539437758,8649.479517578917,6500.312056875823,2.8520481757576714,5891.312814238765
-57244.62229744131,-74868.03180999387,7817.792933161914,-1945.8719444996682,-3170.3542031376514,8184.256503031394,8358.587794574523,6171.547742376763,324.8200100438958,5233.394243696117
-64281.795947359446,-85097.7416899206,10895.120906786964,568.7676776402602,-2336.029345072724,8319.690744845999,8602.75708811568,6504.447179693891,-14.504574724201206,5889.5932899603185
-64323.671364025686,-85032.41781144003,11252.51139480061,838.4083953463177,-2142.2625279000176,8136.818419225707,8498.944033734644,6468.9964630188915,-32.04685406567763,5866.729507425497
-64504.329686013625,-85340.3544089163,11155.949365275917,898.5757163656458,-2193.155528784146,8220.89616210705,8397.620712414671,6603.352169034462,79.48301694282115,5965.7265553683865
-64593.369919033175,-85441.31141127653,11227.078590480014,1046.7316363429738,-2089.690950050363,8090.86883857772,8432.652146966919,6427.755115286961,-63.95298443847132,5968.9087080013105
98135.60199640653,142317.11877733524,-35379.43324046787,4144.028828500415,4215.630158764371,-20490.09096191847,-18475.403231004842,-13975.0565115971,-839.4367523115475,-15423.141205462352
-62784.201879159875,-82854.11539136381,10440.996792995395,441.61378618313825,-2129.2878020028957,8282.949305029157,8418.828656937778,6474.7832149943915,97.50754061728395,5709.326518587201
-63882.883934431935,-84387.79457295741,10977.385288153262,869.3244421487719,-2154.935067193197,8138.2519127383475,8279.81779127908,6543.033732323651,213.77724652586184,5891.479969568391
