Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25
-64096.09222280749,-84756.27945784535,10905.825337428405,700.1911294370758,-2200.3113517536212,8199.983719208542,8439.499100605946,6388.976968288747,68.06263851955757,5841.914817473163,2536.916784378239,2774.07516835335,4170.298160912997,-3826.2929097092638,-2698.985467709379,2392.0101555434917,-4111.437991244636,-2161.470577243851,6963.891751504936,-803.4388188494188,-2672.8291744219578,-3602.4163857853673,-3928.440845214186,4931.199091602609,2050.5707780361727
-64040.5848508799,-84510.69435396892,11274.34890620257,1308.9993018958864,-1916.8990618017458,7916.0767916715395,8212.965270846194,6352.781086861933,-48.50019968397964,5804.287877708302,2519.846415588594,2949.3527685120016,4123.1544968473945,-3730.3381761124124,-2843.613693998603,2385.829834788318,-4020.3597209341337,-2033.4888288287113,7049.1506937650565,-582.5192742455257,-2874.807434630585,-3563.909707445187,-3576.8834925125984,4966.866693248158,2143.2233801208154
130979.24039849312,224177.656329077,-68676.9865376879,-31968.101787365,5718.383969519415,188.05060408657425,-22542.799252356865,36540.363039719836,18251.615949154802,-27071.719722702845,-4119.411164691334,-30860.16900589013,4962.504946020821,26474.101409379302,32275.07792506013,-5850.473829929272,4178.444272874077,-15027.271958604479,-27130.649396874283,-4133.600127992729,-7767.929016478979,20348.325914362784,10039.23767094533,-26433.445139417316,29887.039214118344
-64769.359189762195,-85747.89441660483,11246.404187867125,956.5866702146948,-2145.1272478508417,8219.437035731711,8487.442341413585,6506.424323285999,-39.62790053252172,5926.785707013149,2586.438495759309,2926.2661857029966,4117.867033233812,-3846.2070319512864,-2804.769931944006,2391.6444917155077,-4156.379681403305,-2077.526950831992,7152.600836050147,-669.841571466203,-2825.2344796798275,-3523.7925005728616,-3795.38942190796,4892.516023951402,2069.894458677633
6944.9648762096385,15842.58819896209,-23342.424045835214,-26086.0803463877,-13054.423163252102,7759.219243398216,6115.7414117174585,2017.0082940559487,4040.091486744421,-1083.4343743658292,4511.319578603833,-10584.511091327091,-7690.09550902387,-2401.530782914353,5496.1952218192955,3037.9370982522996,-4488.414456005023,-2236.578387895591,-8890.397056544214,-9413.482368780595,5152.8087215170035,7392.603767583731,-4397.069087148573,-15272.21335095573,-1748.983123519714
-63506.447893522505,-84329.67030622545,10673.827613613596,538.9479726671107,-2641.150398193945,8587.890510578422,8451.76904914105,6538.169302075365,2.611728724167593,5795.564446190952,2616.1853277488594,2656.796720178171,3742.085827027043,-3753.2303295855218,-2422.2753035148085,2400.328053549541,-4328.630057208447,-2143.4790938603837,7067.079554686911,-763.904673244701,-2770.6997854110223,-3272.371012761125,-3941.3445854936813,4454.586080660983,2168.9059850959243
-63857.99928281068,-84292.43531041026,10602.323281590152,544.6358685739717,-2195.8439267769704,8100.470861495284,8286.786658099114,6397.032311339786,19.31304526698578,5744.777583323578,2994.7593608283523,2694.964858518038,3876.882870401917,-3853.4327284652427,-2374.939813289925,1958.568649354867,-3979.3097296347705,-2207.7244475186735,7115.763077525518,-814.5424808930959,-2878.75987868556,-3434.938633508075,-3903.5947835450725,4453.301177939074,1874.35124432643
-64863.66827111552,-85933.59833784735,11254.71251256951,933.2186319537346,-2172.504972618092,8267.020634670474,8534.586971365146,6562.937758083813,-11.149025558944407,5956.782023572025,2619.4960144276765,2887.602968893805,4102.987234530873,-3880.715189937885,-2801.5454083550476,2431.505686786904,-4267.843325472133,-2094.5528415376493,7165.000486050443,-696.4993128896659,-2850.2672045361037,-3547.1548038845517,-3856.740921791144,4873.256659892983,2090.4961113923937
-64379.945865297814,-85040.3588335622,11414.417881857464,1123.4573759458647,-1907.3417672315823,8031.130484436815,8326.586845102282,6266.448251901195,-237.53162164102343,5843.131357712008,2356.0118781258184,3080.868731941638,4182.611262162792,-3711.693758423504,-2963.108368545575,2318.704530810798,-4048.7994405905692,-2094.3345842450635,7125.687851316578,-632.938126035482,-2808.6407747013704,-3445.55356475808,-3667.0425729778635,4986.248075001135,2073.3705244901553
66758.47803236103,111880.4187491854,-50401.63560788898,-23535.806967649194,-79164.17225009808,60041.997666083575,11654.596920841092,-662.7423650897892,408.7888060502739,1731.201548853434,-320.87525644141743,-15482.087059199495,-24394.078428192573,564.3822310021768,24037.02904443375,-4376.517799029742,-13608.583842622329,-4223.016391823337,-28388.130628758317,-28581.688222397042,51767.62089922478,-2136.544488861209,-30993.711901806902,-73849.36820956487,-43112.77040360003
