Component 1,Component 2,Component 3,Component 4,Component 5
-102684.45869213539,85660.87007180043,4791.415723722202,5657.198997731523,2215.872664432163
-88289.57921674139,71433.09311721995,5134.331881731808,4265.745075483001,424.1921585865563
213706.9437801841,-212166.52996297856,35067.67234836634,-23635.956361448658,31742.494616581327
-94777.74292470704,76201.7254555669,1246.748474816602,4209.998293349012,-1321.109700855899
-22355.920399716615,15655.146105068918,40560.737791010055,1986.384727914685,9198.891052031175
-98241.17721894289,80453.77146153398,3731.5103650840783,5478.46715664838,1326.4989856765678
-97808.12577427144,80174.2704503438,2736.5922991161274,4973.111029971866,783.4684125925213
-130543.88500150357,114706.46853226665,11061.54544693687,8417.508687529065,10344.378096306302
-112922.03649550429,96140.59931061715,7587.670475940132,6201.993747903858,5913.496011735437
80537.86597882504,-81237.35092118899,87982.02092718813,60467.58560959991,28919.641635025248
-50329.450259658435,26633.31572399431,-21906.922072102465,12125.907233784736,-7090.867517186842
-100524.76390745702,82870.32850955604,4317.012698500886,5178.662169092724,2117.811057327754
-100875.89410101314,83265.40330562713,4499.408255727112,5320.0868865210705,2023.5756358489612
-101384.38774411046,83938.36114279693,4641.261849940715,5397.397569218848,2232.2420620946796
-83370.91218279376,67552.13036291233,7844.702756182721,4305.208926670063,3145.0613676263224
-101082.34212698445,83280.36009006591,4350.949025119816,5434.051009549638,1843.8644876170767
-100732.53078423663,83089.67392633685,3732.7951980604425,5013.670882469376,1841.7858569486846
-102479.56089463943,85024.92948308236,4870.847571848716,5400.388568896302,2217.147380403427
112790.31195511308,3228.459154643847,-21559.824364832297,-4510.584329956152,5931.620576441527
-101242.15399777281,83475.23966887283,4477.41905157661,5266.30275746847,1953.782961156296
-98410.19464975006,80255.81375237681,3598.0879903932178,4964.241959613976,1117.5513408615627
-100502.31357405025,82809.78595001566,5169.628043590675,5931.271980756841,1829.5547757637419
-101269.79024010678,83658.22363059701,4853.486983178063,5876.908893940394,2040.3728358050619
-104104.51129014413,86914.33261196694,7618.720872629649,5626.037935303422,4793.772929914802
-100408.91252327543,82756.99385665145,4859.897661625193,5430.536570484786,1832.187162423957
-100737.67765603942,82809.09933507569,4636.39987339203,5072.12196982094,1579.4077158855152
-97920.09348083608,80589.07919638715,6160.705947514974,5347.1007800722355,1892.9304582040518
-100092.92168447566,82475.65785946239,4871.708031984926,5090.94616587763,1801.6280090413716
-100081.13592894707,82192.27056223043,4016.8221880107308,5145.730695228263,1337.1055857094061
-100725.61013641825,82918.13022175392,4754.591673592387,5422.944535928111,1841.078884976797
-100881.13248527983,83088.08471466672,4802.190694067956,5333.347045803701,1773.184776919343
133306.3527549443,-127153.08878037507,1370.3286423008672,-11649.231427397282,-5046.69404800682
-100432.2495253463,83266.7257175146,4139.069598028571,5126.555616084901,1929.2657747907335
-101143.66982078398,83412.23861229263,3630.220915417822,5264.104697557902,1780.2889273402313
-130543.88500150357,114706.46853226665,11061.54544693687,8417.508687529065,10344.378096306302
-130543.88500150357,114706.46853226665,11061.54544693687,8417.508687529065,10344.378096306302
-100138.57512409099,82616.50029576775,4307.365016975405,5356.759765361752,2195.6236745541896
-101119.05949121134,83625.61139830537,4322.601439549099,5519.781231739246,2248.732652451912
-100144.65218261647,82380.15332313081,4627.552590657333,5312.036269870674,2061.286777338108
-112704.98149192096,95031.77218143365,6339.683437647092,6838.04563520349,5271.430795186014
-94936.51996507825,75725.86021158402,-5772.904744491618,3395.3909482878894,-2777.243186772318
-96599.95582910602,79597.98636943898,4866.104373134914,5061.83705404102,1947.254075103083
-97953.42891383565,81042.68507552268,5489.097444061313,5197.402202606095,2224.8158767951877
-100450.1065120121,83131.22555899326,4620.095864158644,5395.94003213391,1895.482049260866
