Component 1,Component 2,Component 3,Component 4,Component 5
-64096.09222283028,-84756.27850496261,10906.327246997434,699.989619115153,-2196.2157749484577
-64040.58485090404,-84510.69339811521,11274.85182396582,1308.8037427919744,-1912.8004632885177
130979.24039856426,224177.6557742606,-68678.26706904768,-31963.669952798995,5705.88403984631
-64769.359189785624,-85747.89344814906,11246.915473633462,956.3725410116954,-2140.965001463303
6944.964876327066,15842.587464799233,-23342.65011532823,-26087.079897111467,-13057.519478647117
-63506.44789354271,-84329.66933759228,10674.334884317466,538.7134394470628,-2637.0565137900576
-63857.99928283442,-84292.43435249745,10602.824273003182,544.4544507932054,-2191.7661119502773
-64863.66827113818,-85933.59736335679,11255.228402790499,932.990779933195,-2168.3167727832524
-64379.945865323316,-85040.3578614901,11414.928442329869,1123.2738034872134,-1903.1588172537113
66758.4780327293,111880.41643377209,-50402.52594803451,-23539.719919935633,-79170.71753683386
-35812.063038965716,-27449.657427512502,4943.470193168366,22059.037338833612,4941.480216073287
-63441.511732999155,-83836.83144695606,10691.377464196761,645.2768322733832,-1798.7454169389514
-63735.71211148822,-84236.05502754333,10913.13324372407,700.906690103793,-2249.511439749701
-64113.632792061595,-84842.56624449616,10876.290654295084,589.8764009058098,-2305.9738054099626
-46037.41155541258,-57263.090210174545,5944.28385746357,-597.1927168934914,-2083.2051131681787
-64278.80588291524,-85100.58622001646,11325.273315511147,938.1848432129763,-2096.9429475304096
-64253.82672843078,-84920.92929456409,11053.048233858903,865.7172548095984,-2194.557227510563
-63550.22308092801,-84204.82318235746,10884.841410667112,550.2851066903899,-2281.147817679996
132634.63771596143,27186.1046158134,19416.685603494716,5399.330480617026,4866.817510354878
-64527.92759897311,-85325.24478874792,11197.527565276541,1001.0876038251613,-2135.934229693309
-64575.122985747395,-85566.2607644556,10979.224387523083,571.1323840459945,-2339.222710281776
-63031.64905908657,-83313.35068525383,10053.20807256824,-392.6591753890962,-2778.4518151752577
-63745.880363705546,-84353.52885693886,10483.252374137259,45.943650661686846,-2595.5282201536656
-52626.678801715,-63944.19474187076,7053.447056607034,2044.3688892340354,-1090.7174884014903
-63755.056147835254,-84314.19043066191,10621.814524010502,366.40736830796783,-2477.742462889202
-64147.92179314759,-84951.20987129513,10774.925195040956,374.6184174088135,-2428.0033448151207
-57244.622297448215,-74868.0309789338,7818.274943232914,-1946.2419841718215,-3166.9971634755634
-64281.79594738289,-85097.74072317193,10895.664151902902,568.5323993271203,-2332.051443351766
-64323.67136404903,-85032.41684700397,11253.05494716583,838.1736789300057,-2138.3079005680966
-64504.32968603729,-85340.35344121367,11156.49271398027,898.3384406042245,-2189.1844807002108
-64593.369919058416,-85441.31044290234,11227.620724272067,1046.5258618843577,-2085.731211633392
98135.60199656684,142317.11494984015,-35381.24827618072,4143.260082704995,4199.506908579103
-62784.20187917937,-82854.11445899856,10441.528083385705,441.3345141393044,-2125.4583343678078
-63882.883934454265,-84387.79361310203,10977.922350819475,869.0943528395394,-2151.0336976748044
-64863.66827113818,-85933.59736335679,11255.228402790499,932.990779933195,-2168.3167727832524
-64863.66827113818,-85933.59736335679,11255.228402790499,932.990779933195,-2168.3167727832524
-62765.05237318053,-82767.77109993162,10421.524519221199,297.2383493957825,-2343.1289122407034
-63857.46037576966,-84254.08824708841,10947.857044204851,961.9064599634306,-1943.4419125372606
-63245.2892900152,-83377.65005352888,10756.680063735232,761.0460446469423,-2063.291100147777
-64795.92202105886,-85802.34394317342,11199.874867441618,891.4368963656714,-2127.3312936816737
-49513.199885082504,-56043.65342308505,10443.568847519016,10041.75497519642,3730.5353078468274
-60343.33979217768,-78513.10604439871,11948.851889798892,707.0857011742468,-1502.6347179886934
-62062.38489263502,-81481.06426300193,10815.959674066688,1345.1375042702907,-1867.1558408215385
-64372.34262285852,-85210.37722000091,11183.553686692636,1031.5619354492453,-2046.6203544909022
-62991.5044303748,-82893.73031680188,10784.21919354001,1007.5990246783955,-2051.74853809439
-64323.68290802382,-85130.73262419653,10846.426831431902,493.03030423505044,-2364.8490406179117
-64863.66827113818,-85933.59736335679,11255.228402790499,932.990779933195,-2168.3167727832524
13396.405385779331,104828.15463732247,20831.386821258166,69933.12542259006,50147.92723075972
-64863.66827113818,-85933.59736335679,11255.228402790499,932.990779933195,-2168.3167727832524
-64863.66827113818,-85933.59736335679,11255.228402790499,932.990779933195,-2168.3167727832524
-63460.91541608881,-83514.61166013578,11157.985968439469,705.8014690500397,-1833.0690652190735
-63231.267629963855,-83165.42762351135,10695.910593150365,692.8283998576743,-2232.266503062659
-57689.80391205384,-74273.6506926573,8312.472201367655,-678.1068033991639,-1935.1100608398333
-63170.486731799494,-83147.18920065637,10629.252634713612,940.9579296757782,-1791.4226844523494
25632.43721146549,89255.54719087086,-4453.489510978703,58967.26640986659,53454.26910547418
-64218.6799913093,-84982.56918012163,10914.361661557521,729.7442991772333,-2143.536744097772
-58779.0422718663,-75853.51261303083,9292.484453926862,1253.4021217651612,-1158.2023953580374
-26120.497229095385,-15295.324645399256,-5965.646754090522,-5819.178054917669,-2225.271585896806
-64222.22747096766,-84985.86704412704,11004.39737817882,722.4259475657518,-2210.7351346649493
-64300.19982967538,-85092.78254557657,11035.125856381357,751.3394235116707,-2206.0517772907488
9514.302867805322,15801.268525424839,-34676.934149566914,-42693.343972036964,-8570.685625253487
-63485.69409964851,-84047.24746173897,10622.141540351708,443.894903078276,-2112.4060204715765
-45987.42341889656,-62557.34619157381,6898.5739714242645,673.8818207328776,-2408.35933614127
-64089.97317345513,-84829.6072065153,11187.648734133227,1120.8543561370475,-2012.8345736781216
-64417.53714570842,-85331.9292745054,11170.617372324597,1029.4719562461942,-2121.096955877761
-47035.96827618665,-54488.788680409285,4902.7343094847065,1142.1035790348542,5602.236660926697
-61831.98951305058,-81192.06827720773,10731.56037325785,1334.2671618320078,-1812.7059341782133
-64195.713556505114,-84976.92938374094,10948.315910952453,665.7059636146558,-2267.489906191716
-63056.75134822984,-83424.16412732984,10425.854051490125,159.29535030349282,-2505.4666163202733
-62119.013231859186,-80769.96175986592,10975.820247909283,1643.7930987390605,-1665.1267741172053
-59801.04879197938,-77167.80581077262,9987.691639692675,1698.646597160234,-2156.7508329186226
2788.4681895629556,37922.76002997931,2459.515342011092,25700.70572503856,1703.1125303534645
