NExScI Disposition,KOI Name,Kepler Name,Planet Radius,Stellar Radius,Metallicity,Stellar Mass
CONFIRMED,K00889.01,Kepler-75 b,10.510,0.843,-0.080,0.821
FALSE POSITIVE,K01009.01,,1.170,0.751,-0.200,0.727
FALSE POSITIVE,K07621.01,,1.860,1.187,-0.120,0.864
FALSE POSITIVE,K06252.01,,36.620,0.702,-1.060,0.796
CANDIDATE,K00958.01,,2.530,0.720,0.000,0.781
CANDIDATE,K00984.01,,2.290,0.815,0.120,0.911
FALSE POSITIVE,K04162.01,,9.190,5.302,-0.100,2.050
FALSE POSITIVE,K07622.01,,1.500,0.620,-0.200,0.607
CANDIDATE,K00994.01,,2.120,0.986,0.180,0.861
FALSE POSITIVE,K00998.01,,36.140,1.212,0.180,1.142
CONFIRMED,K00992.01,Kepler-745 b,2.410,1.220,0.160,1.035
CANDIDATE,K00992.02,,1.440,1.220,0.160,1.035
FALSE POSITIVE,K00982.01,,1.560,0.651,-0.200,0.654
FALSE POSITIVE,K03924.01,,100.200,1.768,-0.220,1.317
FALSE POSITIVE,K07623.01,,34.140,20.848,0.070,3.584
FALSE POSITIVE,K00362.01,,14.930,1.050,-0.140,1.012
FALSE POSITIVE,K04924.01,,4.700,1.768,-0.160,1.349
FALSE POSITIVE,K03658.01,,27.090,0.544,-0.260,0.539
CANDIDATE,K04359.01,,0.810,2.059,-0.240,1.375
CANDIDATE,K03145.01,,1.660,0.688,-0.060,0.769
CANDIDATE,K03145.02,,1.060,0.688,-0.060,0.769
CONFIRMED,K00993.01,Kepler-262 c,1.750,0.876,-0.140,0.970
CONFIRMED,K00993.02,Kepler-262 b,1.450,0.876,-0.140,0.970
FALSE POSITIVE,K00993.03,,1.430,0.876,-0.140,0.970
CANDIDATE,K04053.01,,0.850,1.035,-0.140,0.968
CANDIDATE,K04644.01,,1.230,0.781,0.140,0.879
FALSE POSITIVE,K01008.01,,38.980,2.057,-0.460,0.935
CANDIDATE,K07624.01,,5.920,3.466,0.060,1.658
FALSE POSITIVE,K04224.01,,1.590,1.744,-0.200,1.185
CONFIRMED,K04212.01,Kepler-1569 b,1.690,1.318,0.020,1.109
CANDIDATE,K04212.02,,1.030,1.318,0.020,1.109
CONFIRMED,K01007.01,Kepler-748 b,2.010,0.961,-0.080,1.002
FALSE POSITIVE,K04925.01,,43.700,1.158,0.140,1.154
CANDIDATE,K02538.01,,1.460,0.759,0.000,0.800
CONFIRMED,K01002.01,Kepler-746 b,1.170,1.022,0.210,0.902
CANDIDATE,K04926.01,,1.470,0.698,-0.280,0.679
FALSE POSITIVE,K07625.01,,0.830,1.286,-0.300,0.844
FALSE POSITIVE,K04927.01,,37.880,1.769,0.140,1.338
CONFIRMED,K01001.01,Kepler-264 b,3.710,2.097,0.240,1.472
CONFIRMED,K01001.02,Kepler-264 c,3.420,2.097,0.240,1.472
CANDIDATE,K02351.01,,1.680,0.899,-0.040,0.996
CONFIRMED,K04928.01,Kepler-1624 b,4.910,0.427,0.480,0.430
CONFIRMED,K02634.01,Kepler-1299 b,2.420,0.763,-0.400,0.853
FALSE POSITIVE,K07626.01,,2.460,0.974,-0.500,0.892
FALSE POSITIVE,K03351.01,,41.660,0.790,-0.120,0.848
CONFIRMED,K02534.01,Kepler-1271 b,1.620,1.263,-0.060,1.066
CANDIDATE,K02534.02,,1.390,1.263,-0.060,1.066
FALSE POSITIVE,K00147.01,,40.150,1.095,-0.300,0.969
FALSE POSITIVE,K08084.01,,2.100,1.333,-0.940,0.779
FALSE POSITIVE,K03999.01,,25.430,1.742,0.120,1.143
FALSE POSITIVE,K04929.01,,20.830,2.471,0.020,1.407
FALSE POSITIVE,K06257.01,,9.760,2.724,0.100,1.834
FALSE POSITIVE,K06258.01,,0.720,1.726,0.100,1.263
FALSE POSITIVE,K02178.01,,3.740,3.049,-0.140,1.541
FALSE POSITIVE,K03585.01,,46.000,0.892,-0.560,0.818
FALSE POSITIVE,K06093.01,,3.860,4.524,0.300,1.894
CANDIDATE,K06093.02,,4.490,4.524,0.300,1.894
FALSE POSITIVE,K01987.01,,23.560,0.710,-0.280,0.792
FALSE POSITIVE,K07627.01,,29.010,0.709,-0.240,0.784
FALSE POSITIVE,K02201.01,,44.410,1.411,0.000,1.096
CONFIRMED,K02403.01,Kepler-1224 b,1.320,1.218,0.220,1.194
CANDIDATE,K02130.01,,1.700,0.587,0.060,0.593
FALSE POSITIVE,K06094.01,,218.790,1.719,-0.240,1.327
CANDIDATE,K06259.01,,1.140,1.115,0.080,0.959
CANDIDATE,K06259.02,,1.300,1.115,0.080,0.959
FALSE POSITIVE,K06260.01,,51.080,0.808,-0.380,0.813
CANDIDATE,K01029.01,,4.840,1.494,0.040,1.043
